,Group,Week Starting,Rank,Total Interactions,Headline,Published,Website
0,Content,2021-01-25,1,137053,Twitter Axes Group for Hate Speech About HHS Official's Biological Sex,2021-01-31,breitbart.com
1,Content,2021-01-25,2,81872,"Rep. Marjorie Taylor Greene’s endorsement of conspiracy theories, violence sparks calls for her resignation — again",2021-01-27,washingtonpost.com
2,Content,2021-01-25,3,50593,Marjorie Taylor Greene penned conspiracy theory that a laser beam from space started deadly 2018 California wildfire,2021-01-28,mediamatters.org
3,Content,2021-01-25,4,44418,Marjorie Taylor Greene removes social media posts amid scrutiny of past controversial comments,2021-01-28,cnn.com
4,Content,2021-01-25,5,41101,'Crazy and evil': Bill Gates surprised by pandemic conspiracies,2021-01-27,reuters.com
5,Content,2021-01-25,6,39536,"Checked by reality, some QAnon supporters seek a way out",2021-01-28,apnews.com
6,Content,2021-01-25,7,39440,Twitter bans MyPillow CEO,2021-01-26,politico.com
7,Content,2021-01-25,8,29927,Marjorie Taylor Greene mocked over Jewish space lasers conspiracy,2021-01-29,newsweek.com
8,Content,2021-01-25,9,23134,‘Even Discord Has Gone Corpo’: Elon Musk Rips Discord Banning ‘WallStreetBets’,2021-01-28,dailywire.com
9,Content,2021-01-25,10,21081,Video emerges of Trumper Rep. Marjorie Taylor Green calling for Pelosi's execution,2021-01-26,occupydemocrats.com
100,Taxation,2021-01-25,1,88073,"Sanders on Billionaire Investor's Tax Fears Amid GameStop Saga: ""Cry Me a River""",2021-01-29,truthout.org
101,Taxation,2021-01-25,2,85554,"Bill Gates warns the ""next pandemic"" is coming after Covid-19 - and how to stop it | MSNBC",2021-01-29,msnbc.com
102,Taxation,2021-01-25,3,8588,'Cry Me a River': Sanders Hits Back as Billionaire Investor Whines About Potential Tax Hikes Amid GameStop Fiasco,2021-01-29,commondreams.org
103,Taxation,2021-01-25,4,7652,Global Tax On Tech Giants Now ‘Highly Likely’ As EU And US Eye Summer Agreement,2021-01-31,unilad.co.uk
104,Taxation,2021-01-25,5,6639,PROBLEM SOLVED! Warren Says Americans Who ‘Make it Big’ Can Afford to ‘Pay It Forward!’,2021-01-29,hannity.com
105,Taxation,2021-01-25,6,4546,"Washington state lawmakers target Bill Gates, Jeff Bezos, and other billionaires with wealth tax",2021-01-28,geekwire.com
106,Taxation,2021-01-25,7,4099,"Kevin O'Leary thinks AOC's ""Tax the Rich"" shirts prove there's a capitalist in every socialist",2021-01-29,newsweek.com
107,Taxation,2021-01-25,8,3897,Bernie Sanders Hits Back At Billionaire Investor Complaining About ‘Bullsh*t’ Tax Hikes,2021-01-29,unilad.co.uk
108,Taxation,2021-01-25,9,3144,Elizabeth Warren says the stock market has become a 'playground for the billionaires.' She's calling for a wealth tax to fix it.,2021-01-29,businessinsider.com
109,Taxation,2021-01-25,10,2099,Billionaire hedge funder says paying his 'fair share' of tax is a 'bullsh*t attack on the rich',2021-01-29,thelondoneconomic.com
200,Privacy,2021-01-25,1,64490,Mark Zuckerberg says Apple is becoming Facebook's biggest competitor. He also accused Apple of misleading users on privacy and abusing its dominance.,2021-01-28,businessinsider.com
201,Privacy,2021-01-25,2,29370,Think you have nothing to hide? Why you should care about data privacy anyway.,2021-01-28,vox.com
202,Privacy,2021-01-25,3,10855,Zuckerberg says WhatsApp is under threat... from Apple iMessage,2021-01-28,indiatoday.in
203,Privacy,2021-01-25,4,7039,Mark Zuckerberg says Apple is now one of Facebook's biggest competitors,2021-01-27,cnbc.com
204,Privacy,2021-01-25,5,6268,ADL Chief Wants Twitter to Ban Iran's Ayatollah Khamenei,2021-01-26,newsmax.com
205,Privacy,2021-01-25,6,5993,Facebook is preparing an antitrust lawsuit against Apple,2021-01-28,xda-developers.com
206,Privacy,2021-01-25,7,5989,Facebook preparing to take Apple to court over iOS 14 privacy features | AppleInsider,2021-01-28,appleinsider.com
207,Privacy,2021-01-25,8,5769,WhatsApp loses MILLIONS of users to rivals Telegram and Signal,2021-01-25,dailymail.co.uk
208,Privacy,2021-01-25,9,5055,Moving Chat History from Other Apps,2021-01-28,telegram.org
209,Privacy,2021-01-25,10,4983,Google Effort to Kill Third-Party Cookies in Chrome Rolls Out in April,2021-01-25,pcmag.com
300,Censorship,2021-01-25,1,73529,"Poland Urges U.S. to Regulate Big Tech, Protect People from Censorship",2021-01-25,breitbart.com
301,Censorship,2021-01-25,2,21197,Govt. Minister: Poland Will Regulate Big Tech to Protect Free Speech,2021-01-27,breitbart.com
302,Censorship,2021-01-25,3,20823,Facebook's 'Oversight Board' overturns four of five cases in first rulings,2021-01-28,nbcnews.com
303,Censorship,2021-01-25,4,19771,Hungary: 'We Must Fight for Our Digital Freedom' Against Big Tech,2021-01-29,breitbart.com
304,Censorship,2021-01-25,5,16685,FNC's Carlson: 'Never in American History Has There Been Press Censorship on This Scale',2021-01-27,breitbart.com
305,Censorship,2021-01-25,6,11372,"WATCH: New Video Exposes Twitter Hypocrisy, Lists Prominent Accounts That Have 'Incited Violence'",2021-01-28,dailywire.com
306,Censorship,2021-01-25,7,7263,"Fox host Maria Bartiromo complained about left's 'censorship obsession' on air, and said she's lost over 100k Twitter followers",2021-01-28,businessinsider.com
307,Censorship,2021-01-25,8,7001,YouTube strips rising media company Epoch Times of ability to monetize video content,2021-01-26,justthenews.com
308,Censorship,2021-01-25,9,6013,The Left Should Oppose Censorship by Big Tech Companies,2021-01-28,jacobinmag.com
309,Censorship,2021-01-25,10,5848,"Social Media Users Abandon Twitter, Facebook Over Censorship Issues: Survey",2021-01-28,theepochtimes.com
400,Copyright,2021-01-25,1,11915,Online Harassment Toward Women Is Getting Even More Insidious,2021-01-28,wired.com
401,Copyright,2021-01-25,2,1221,Think That Video You’re Watching Might Be A Deepfake? Here’s What To Look For,2021-01-25,10news.com
402,Copyright,2021-01-25,3,1123,Star Wars Deepfake Turns Millie Bobby Brown Into Princess Leia,2021-01-31,cbr.com
403,Copyright,2021-01-25,4,1048,Double Masking: Legit Science or Machination of Clickbait Media?,2021-01-29,rumble.com
404,Copyright,2021-01-25,5,638,Trump supporters brought guillotine to one of my speeches - Sadiq Khan,2021-01-25,standard.co.uk
405,Copyright,2021-01-25,6,558,Deepfake de Luke Skywalker coloca CGI do final de Mandalorian no chinelo; confira - Bastidores,2021-01-26,nosbastidores.com.br
406,Copyright,2021-01-25,7,532,"Deepfake Videos Are Getting Better, And The Pentagon Is Worried",2021-01-28,newsy.com
407,Copyright,2021-01-25,8,492,"""Willie Nelson"" stars in unsettling deepfake commercial",2021-01-28,news.avclub.com
408,Copyright,2021-01-25,9,285,"'Deepfake': Stars who fell victim to edited nude photos, videos",2021-01-28,philstar.com
409,Copyright,2021-01-25,10,260,"Taboola, Purveyor of Clickbait Ads, Will Go Public",2021-01-25,nytimes.com
500,Politics,2021-01-25,1,293850,Twitter permanently suspends MyPillow CEO for election misinformation,2021-01-26,nbcnews.com
501,Politics,2021-01-25,2,170757,Twitter Removes MyPillow CEO Mike Lindell's Account,2021-01-26,newsmax.com
502,Politics,2021-01-25,3,116195,My Pillow CEO Mike Lindell Permanently Suspended From Twitter,2021-01-26,npr.org
503,Politics,2021-01-25,4,107589,Twitter Encourages Users to Snitch on Each Other with 'Birdwatch' Feature,2021-01-26,breitbart.com
504,Politics,2021-01-25,5,62622,MyPillow CEO Mike Lindell Permanently Suspended from Twitter,2021-01-26,theconservativeopinion.com
505,Politics,2021-01-25,6,57209,"राजदीप सरदेसाई ने फैलाई पुलिस फा’यरिंग में किसान के मा’रे जाने की झूठी खबर, हुए एक्सपोज तो ट्वीट किया डिलीट",2021-01-27,thechaupal.com
506,Politics,2021-01-25,7,52856,"Twitter permanently bans ""MyPillow guy"" Mike Lindell",2021-01-26,cbsnews.com
507,Politics,2021-01-25,8,38055,Biden’s DOJ Nominee Repeatedly Posted Misinformation About Breonna Taylor’s Death On Social Media,2021-01-29,dailywire.com
508,Politics,2021-01-25,9,34005,"MyPillow CEO Mike Lindell Banned from Twitter for Trump, Election Claims",2021-01-26,tmz.com
509,Politics,2021-01-25,10,32171,Social Media Influencer Charged with Election Interference Stemming from Voter Disinformation Campaign,2021-01-27,justice.gov
600,Competition,2021-01-25,1,125512,Australia 'Will Not Be Intimidated' - Rejects Big Tech Pleas for Leniency,2021-01-31,breitbart.com
601,Competition,2021-01-25,2,73529,"Poland Urges U.S. to Regulate Big Tech, Protect People from Censorship",2021-01-25,breitbart.com
602,Competition,2021-01-25,3,64490,Mark Zuckerberg says Apple is becoming Facebook's biggest competitor. He also accused Apple of misleading users on privacy and abusing its dominance.,2021-01-28,businessinsider.com
603,Competition,2021-01-25,4,21197,Govt. Minister: Poland Will Regulate Big Tech to Protect Free Speech,2021-01-27,breitbart.com
604,Competition,2021-01-25,5,16685,FNC's Carlson: 'Never in American History Has There Been Press Censorship on This Scale',2021-01-27,breitbart.com
605,Competition,2021-01-25,6,12578,Mark Zuckerberg Ramps Up Apple Attack as Facebook Weighs Antitrust Suit,2021-01-28,bloomberg.com
606,Competition,2021-01-25,7,11532,"Farage blasts EU as ""nasty, vindictive"" nationalists covering up for their own incompetence",2021-01-26,foxhole.news
607,Competition,2021-01-25,8,11397,Facebook calls on Canadian government to set social media rules,2021-01-29,cbc.ca
608,Competition,2021-01-25,9,9227,Facebook is reportedly prepping an antitrust lawsuit against Apple focused on its App Store rules,2021-01-28,businessinsider.com
609,Competition,2021-01-25,10,6639,PROBLEM SOLVED! Warren Says Americans Who ‘Make it Big’ Can Afford to ‘Pay It Forward!’,2021-01-29,hannity.com
700,Behaviour,2021-01-25,1,352726,Sex Trafficking Survivor Challenges Jack Dorsey On Heels Of Bombshell Lawsuit: ‘How Do You Sleep At Night’,2021-01-27,dailywire.com
701,Behaviour,2021-01-25,2,137053,Twitter Axes Group for Hate Speech About HHS Official's Biological Sex,2021-01-31,breitbart.com
702,Behaviour,2021-01-25,3,55885,21 Men Accuse Lincoln Project Co-Founder of Online Harassment,2021-01-31,nytimes.com
703,Behaviour,2021-01-25,4,35102,"Coronavirus: Toronto hospital nurse who died by suicide remembered as caring, dedicated",2021-01-26,globalnews.ca
704,Behaviour,2021-01-25,5,23134,‘Even Discord Has Gone Corpo’: Elon Musk Rips Discord Banning ‘WallStreetBets’,2021-01-28,dailywire.com
705,Behaviour,2021-01-25,6,17176,Lawyer Lin Wood says State Bar of Georgia is requiring him to take a mental health exam to keep his law license,2021-01-29,theblaze.com
706,Behaviour,2021-01-25,7,15820,T.I. And Tiny Accused Of Sex Trafficking After More Than 15 Women Come Forward,2021-01-29,unilad.co.uk
707,Behaviour,2021-01-25,8,14159,"Father of 5 killed in confrontation with teens over daughter's cyber bullying, family says",2021-01-26,abc13.com
708,Behaviour,2021-01-25,9,13391,"Facebook, we need to talk.",2021-01-26,act.jewishvoiceforpeace.org
709,Behaviour,2021-01-25,10,11915,Online Harassment Toward Women Is Getting Even More Insidious,2021-01-28,wired.com
800,Access,2021-01-25,1,34988,SpaceX's Starlink Raises Download Speed Goal From 1Gbps to 10Gbps,2021-01-26,pcmag.com
801,Access,2021-01-25,2,10275,Gov. Abbott pitches legislation to protect businesses operating during pandemic from ‘frivolous lawsuits’,2021-01-26,kxan.com
802,Access,2021-01-25,3,7134,Comcast pausing data threshold fees until August for Mass. customers,2021-01-27,boston25news.com
803,Access,2021-01-25,4,7132,Pennsylvania woman accused of Pelosi laptop theft during Capitol riot banned from Internet,2021-01-26,foxla.com
804,Access,2021-01-25,5,5683,Woman Accused of Stealing Nancy Pelosi’s Laptop May Lose Internet Access as Feds Allege Deepening Cover-up,2021-01-25,lawandcrime.com
805,Access,2021-01-25,6,5512,Pennsylvania woman accused of Pelosi laptop theft during Capitol riot banned from Internet,2021-01-26,fox32chicago.com
806,Access,2021-01-25,7,5271,Woman Accused of Stealing Nancy Pelosi's Laptop Also Allegedly Encouraged People to Destroy Evidence; Now Prosecutor Wants Her Internet Access to be Limited,2021-01-26,atlantablackstar.com
807,Access,2021-01-25,8,5179,Internet and phone services in rural Texas threatened as state slashes subsidies for providers,2021-01-25,texastribune.org
808,Access,2021-01-25,9,4730,Pennsylvania woman accused of Pelosi laptop theft during Capitol riot banned from Internet,2021-01-27,ktvu.com
809,Access,2021-01-25,10,4085,Pennsylvania woman accused of Pelosi laptop theft during Capitol riot banned from Internet,2021-01-26,fox13news.com
900,Brand Safety,2021-01-25,1,44942,The GameStop Bubble Is a Lesson in the Absurdity and Uselessness of the Stock Market,2021-01-27,jacobinmag.com
901,Brand Safety,2021-01-25,2,19950,Merriam-Webster Changes Definition Of ‘White Supremacist’ To ‘Anyone Who Wins In The Stock Market When They’re Not Supposed To’,2021-01-28,babylonbee.com
902,Brand Safety,2021-01-25,3,19721,"Trump Presidency May Have ‘Permanently Damaged’ Democracy, Says EU Chief",2021-01-26,forbes.com
903,Brand Safety,2021-01-25,4,18207,WallStreetBets Founder Reckons With Legacy Amid Stock-Market Frenzy,2021-01-28,wsj.com
904,Brand Safety,2021-01-25,5,16410,Google Warning: North Korean Hackers Breach Windows And Chrome Defenses To Attack Security Researchers,2021-01-26,forbes.com
905,Brand Safety,2021-01-25,6,11532,"Farage blasts EU as ""nasty, vindictive"" nationalists covering up for their own incompetence",2021-01-26,foxhole.news
906,Brand Safety,2021-01-25,7,4420,The stock market wars: U.S. lawmaker Ocasio-Cortez breaks it down,2021-01-29,reuters.com
907,Brand Safety,2021-01-25,8,3148,Facebook 'Supreme Court' Orders Social Network To Restore 4 Posts In 1st Rulings,2021-01-28,npr.org
908,Brand Safety,2021-01-25,9,2000,"Robinhood App Gets Over 100,000 One-Star Reviews On App Store After Restricting Trades Of GameStop And Other Meme Stocks",2021-01-28,brobible.com
909,Brand Safety,2021-01-25,10,1946,Texas 5th grader cashes in GameStop stock gifted to him for Kwanzaa,2021-01-29,news.yahoo.com
0,Content,2021-02-01,1,254603,House ousts Rep. Marjorie Taylor Greene from committees in unprecedented vote,2021-02-04,foxnews.com
1,Content,2021-02-01,2,112556,House removes Rep. Marjorie Taylor Greene from committees over incendiary social media posts,2021-02-04,usatoday.com
2,Content,2021-02-01,3,72870,Marjorie Taylor Greene Says She Regrets QAnon Comments,2021-02-04,wsj.com
3,Content,2021-02-01,4,32499,My Pillow CEO Mike Lindell says he made a three-hour election fraud film,2021-02-05,nypost.com
4,Content,2021-02-01,5,26769,"Nancy Pelosi calls McCarthy a coward for refusing to censure Marjorie Greene, says Dems will 'take action' against her",2021-02-04,theblaze.com
5,Content,2021-02-01,6,23157,"WATCH: Rep. Greene defends herself on the House floor ""None of us are perfect""",2021-02-04,theconservativeopinion.com
6,Content,2021-02-01,7,19877,Kathy Griffin gets ultimate revenge on MAGA harasser by turning her in to FBI for rioting at Capitol,2021-02-01,lgbtqnation.com
7,Content,2021-02-01,8,15032,Twitter Bans MyPillow Account After Banned CEO Mike Lindell Used It To Tweet,2021-02-02,forbes.com
8,Content,2021-02-01,9,12561,"Bill Gates Responds After Negative Stories About Him Go Viral, Blames Social Media",2021-02-07,westernjournal.com
9,Content,2021-02-01,10,12401,Marjorie Taylor Greene was a moderator of a Facebook group featuring death threats and racist memes.,2021-02-04,motherjones.com
100,Taxation,2021-02-01,1,3062,"Proposed ‘billionaire tax’ comes to Olympia, as Washington Democrats seek to revamp tax system",2021-02-03,seattletimes.com
101,Taxation,2021-02-01,2,2855,Washington state eyes 'billionaire tax' on the ultra rich,2021-02-02,abcnews.go.com
102,Taxation,2021-02-01,3,2137,Rishi Sunak urged to slap 'Amazon' tax on online shopping to save High Street,2021-02-06,thesun.co.uk
103,Taxation,2021-02-01,4,1715,Washington state eyes ‘billionaire tax’ on the ultra rich,2021-02-02,oregonlive.com
104,Taxation,2021-02-01,5,1571,UK plans to tax firms that profited from pandemic: Sunday Times,2021-02-06,reuters.com
105,Taxation,2021-02-01,6,1484,Washington state eyes 'billionaire tax' on the ultra rich,2021-02-03,kiro7.com
106,Taxation,2021-02-01,7,1315,How Billionaire Robert Smith Avoided Indictment in a Multimillion-Dollar Tax Case,2021-02-03,bloomberg.com
107,Taxation,2021-02-01,8,1213,Nevada Wants to Let Tech Companies Form Their Own Governments,2021-02-05,gizmodo.com
108,Taxation,2021-02-01,9,1197,"Fact Check: No, Senior Citizens Above 75 Years Of Age Are Not Exempted From Paying Income Tax",2021-02-02,thelogicalindian.com
109,Taxation,2021-02-01,10,1078,Washington state eyes 'billionaire tax' on the ultra rich,2021-02-02,komonews.com
200,Privacy,2021-02-01,1,300915,Apple Wants To Make It Harder For Apps To Track You. Facebook Isn't Happy.,2021-02-01,forbes.com
201,Privacy,2021-02-01,2,70724,Apple’s privacy policy kicks Facebook where it hurts,2021-02-06,economist.com
202,Privacy,2021-02-01,3,70515,Apple’s privacy policy kicks Facebook where it hurts,2021-02-04,economist.com
203,Privacy,2021-02-01,4,35840,"Whistleblower Leaks Footage Showing Facebook Execs Discussing Censorship, Capitol Riot & Alignment With Biden Admin. - Breaking911",2021-02-01,breaking911.com
204,Privacy,2021-02-01,5,31278,The Privacy Spat Between Facebook and Apple Is Just the Beginning,2021-02-03,bloomberg.com
205,Privacy,2021-02-01,6,26891,Listen Carefully to What Facebook Isn’t Saying About Apple’s Upcoming Privacy Change. It's the Only Part that Matters,2021-02-02,inc.com
206,Privacy,2021-02-01,7,9577,"If You’re Worried About Misinformation, Focus on For-Profit TV News",2021-02-04,jacobinmag.com
207,Privacy,2021-02-01,8,8146,"Facebook strikes back against Apple privacy change, prompts users to accept tracking to get 'better ads experience'",2021-02-01,cnbc.com
208,Privacy,2021-02-01,9,6714,"Gov. Ron DeSantis takes aim at big tech companies, social media platforms",2021-02-02,abcactionnews.com
209,Privacy,2021-02-01,10,6602,"Facebook Ramps Up Privacy Fight with Apple, Asks Users Permission to Track Them",2021-02-02,breitbart.com
300,Censorship,2021-02-01,1,84101,DeSantis Announces Big Tech's Worst Nightmare In Response to Censorship of Conservatives,2021-02-03,rumble.com
301,Censorship,2021-02-01,2,62770,Florida Gov. Ron DeSantis Launches Ambitious Crackdown on Big Tech,2021-02-02,breitbart.com
302,Censorship,2021-02-01,3,47195,BREAKING: Steven Crowder’s lawyer files lawsuit against Facebook alleging litany of censorship-related offenses,2021-02-01,theblaze.com
303,Censorship,2021-02-01,4,35840,"Whistleblower Leaks Footage Showing Facebook Execs Discussing Censorship, Capitol Riot & Alignment With Biden Admin. - Breaking911",2021-02-01,breaking911.com
304,Censorship,2021-02-01,5,32575,"Twitter Censors Focus on the Family, Accuses Them of 'Hateful Conduct'",2021-02-01,www1.cbn.com
305,Censorship,2021-02-01,6,28541,Florida Gov. Ron DeSantis CALLS OUT Journalists Defending Big Tech Censorship,2021-02-02,rumble.com
306,Censorship,2021-02-01,7,27731,"Florida Gov. DeSantis goes to war against ‘Big Tech,’ citing censorship of Trump",2021-02-02,nypost.com
307,Censorship,2021-02-01,8,24395,Press Sec Gives RIDICULOUS Answer on Social Media Censorship,2021-02-01,rumble.com
308,Censorship,2021-02-01,9,21006,Ron DeSantis Proposes ACTUAL LEGISLATION to Combat Big Tech Censorship,2021-02-02,louderwithcrowder.com
309,Censorship,2021-02-01,10,16868,Gov. DeSantis Leads Florida GOP In Penalizing Big Tech's Power Abuses,2021-02-02,thefederalist.com
400,Copyright,2021-02-01,1,3358,"Steven Wilson Becomes Bowie, Biden, Trump, and More in New 'Self' Video",2021-02-01,rollingstone.com
401,Copyright,2021-02-01,2,2166,"Steven Wilson transforms into David Bowie, Donald Trump and more in deepfake 'Self' video",2021-02-01,nme.com
402,Copyright,2021-02-01,3,1448,Steven Wilson releases disturbing deepfake video for Self,2021-02-01,loudersound.com
403,Copyright,2021-02-01,4,1374,Miles Skarin directs creepy deepfake music video for Steve Wilson,2021-02-03,creativereview.co.uk
404,Copyright,2021-02-01,5,1161,"Steven Wilson transforms into Brad Pitt, David Bowie, Donald Trump, and more in ""Self"" video: Watch",2021-02-02,consequenceofsound.net
405,Copyright,2021-02-01,6,1026,This deepfake music video shows how likable Zuck would look with long hair,2021-02-04,inputmag.com
406,Copyright,2021-02-01,7,768,Wie ein irischer Teenager Deepfakes bekämpft,2021-02-03,sz-magazin.sueddeutsche.de
407,Copyright,2021-02-01,8,457,Journalist-praktikant satte sig for at lave en deepfake video: 'Skræmmende let at lære',2021-02-04,dr.dk
408,Copyright,2021-02-01,9,447,Scarily Realistic Deepfake Putin Is The Hottest New TikToker,2021-02-07,unilad.co.uk
409,Copyright,2021-02-01,10,434,"What early US presidents looked like, according to AI-generated images",2021-02-03,bigthink.com
500,Politics,2021-02-01,1,333733,"Voting technology company Smartmatic files $2.7 billion lawsuit against Fox News, Rudy Giuliani and Sidney Powell over 'disinformation campaign'",2021-02-04,cnn.com
501,Politics,2021-02-01,2,192396,Opinion | 60 Black Health Experts Urge Black Americans to Get Vaccinated,2021-02-07,nytimes.com
502,Politics,2021-02-01,3,100646,Smartmatic files $2.7 billion defamation suit against Fox News over election fraud claims,2021-02-04,washingtonpost.com
503,Politics,2021-02-01,4,94928,"Fox News has dropped ‘Lou Dobbs Tonight,’ promoter of Trump’s false election fraud claims",2021-02-06,washingtonpost.com
504,Politics,2021-02-01,5,62944,For the record: Michigan nuns at Trump rally aren't really nuns,2021-02-03,ncronline.org
505,Politics,2021-02-01,6,53891,"Fox News, Sidney Powell, Giuliani Face Billion-Dollar Defamation Lawsuits—Here’s Who Could Be Next",2021-02-05,forbes.com
506,Politics,2021-02-01,7,51285,Lawsuits Take the Lead in Fight Against Disinformation,2021-02-06,nytimes.com
507,Politics,2021-02-01,8,44535,YouTube and Vimeo remove Mike Lindell's election fraud movie,2021-02-06,washingtonexaminer.com
508,Politics,2021-02-01,9,39882,"While Dominion Seems Poised To Sue Dozens In Right Wing Media, OANN Announces Whopping Three-Hour Fraud Special Featuring Mike Lindell",2021-02-05,dailycaller.com
509,Politics,2021-02-01,10,38386,Newsmax anchor storms off set when MyPillow CEO voices election conspiracies,2021-02-03,cnn.com
600,Competition,2021-02-01,1,82360,Steven Crowder Announces Lawsuit Against Facebook,2021-02-01,dailywire.com
601,Competition,2021-02-01,2,59567,"DeSantis proposes daily $100G fine, other penalties for Big Tech firms that deplatform political candidates",2021-02-02,foxnews.com
602,Competition,2021-02-01,3,47195,BREAKING: Steven Crowder’s lawyer files lawsuit against Facebook alleging litany of censorship-related offenses,2021-02-01,theblaze.com
