,Group,Week Starting,Rank,Total Interactions,Headline,Published,Website
603,Competition,2021-02-01,4,29541,BREAKING: Steven Crowder Announces Lawsuit Against Facebook,2021-02-01,rfangle.com
604,Competition,2021-02-01,5,16596,DeSantis bracing for 'big fight' over Big Tech crackdown: 'We're buckled up',2021-02-03,foxnews.com
605,Competition,2021-02-01,6,15492,"'Louder with Crowder' Suing Facebook for 'Unfair Competition, Fraud, False Advertising and Anti-Trust'",2021-02-02,mrctv.org
606,Competition,2021-02-01,7,5730,"Researchers call conservative claims of tech censorship ""a form of disinformation""",2021-02-01,axios.com
607,Competition,2021-02-01,8,4899,"Fla.'s DeSantis Moves to Limit Big Tech in Censorship, 'Political Manipulation'",2021-02-02,newsmax.com
608,Competition,2021-02-01,9,4808,Florida Gov. Ron DeSantis crashes Big Tech's power,2021-02-04,wnd.com
609,Competition,2021-02-01,10,4758,Indian PM Modi appoints a Nationalist Technocrat to crack down upon the monopoly of the Big Tech,2021-02-03,tfiglobalnews.com
700,Behaviour,2021-02-01,1,42846,Anti-Sex Trafficking Advocates Slam Twitter On Heels Of Bombshell Lawsuit From Teen Victim,2021-02-01,dailywire.com
701,Behaviour,2021-02-01,2,19877,Kathy Griffin gets ultimate revenge on MAGA harasser by turning her in to FBI for rioting at Capitol,2021-02-01,lgbtqnation.com
702,Behaviour,2021-02-01,3,15754,"Pennsylvania Teen Had Hands Up When Police Shot and Killed Him, New Video Shows",2021-02-04,news.yahoo.com
703,Behaviour,2021-02-01,4,10799,Black Police Officer Dies by Suicide After Lambasting Police Brutality,2021-02-05,theroot.com
704,Behaviour,2021-02-01,5,9306,It's Donald Trump Jr. vs. The Lincoln Project in the latest major social media feud,2021-02-01,washingtonpress.com
705,Behaviour,2021-02-01,6,7645,Anti-Trafficking Advocates Join Federal Lawsuit Against Twitter Brought by Teen Sex Abuse Victim,2021-02-01,www1.cbn.com
706,Behaviour,2021-02-01,7,6881,Un conducteur de Transilien adresse un message touchant à la femme qu'il a sauvée du suicide,2021-02-03,francebleu.fr
707,Behaviour,2021-02-01,8,6454,"As GameStop stock crumbles, newbie traders reckon with heavy losses",2021-02-02,washingtonpost.com
708,Behaviour,2021-02-01,9,4758,Nigerian separatist leader Nnamdi Kanu's Facebook account removed,2021-02-04,bbc.com
709,Behaviour,2021-02-01,10,4750,Nigerian separatist leader Nnamdi Kanu's Facebook account removed,2021-02-04,bbc.co.uk
800,Access,2021-02-01,1,500418,India cuts internet around New Delhi as protesting farmers clash with police,2021-02-01,cnn.com
801,Access,2021-02-01,2,22127,Internet access partially restored in Myanmar as protests grow against military coup,2021-02-07,channelnewsasia.com
802,Access,2021-02-01,3,14078,Biden’s FCC takes its first steps toward making the internet affordable,2021-02-03,vox.com
803,Access,2021-02-01,4,5971,US urges India to hold ‘dialogue’ with protesting farmers,2021-02-04,aljazeera.com
804,Access,2021-02-01,5,5283,"Gov. Greg Abbott unveils legislative priorities, including police funding, ""election integrity,"" expanding broadband access and more",2021-02-01,texastribune.org
805,Access,2021-02-01,6,3841,NY broadband internet bill vetoed after Andrew Cuomo declines to act,2021-02-02,democratandchronicle.com
806,Access,2021-02-01,7,3462,We Need To Inoculate Military Servicemembers Against Information Threats: The Case For Digital Literacy Training - War on the Rocks,2021-02-01,warontherocks.com
807,Access,2021-02-01,8,3413,Myanmar: tens of thousands march against military coup for second day,2021-02-07,theguardian.com
808,Access,2021-02-01,9,3367,Poe bullish on entry of Elon Musk's internet service in PH,2021-02-03,mb.com.ph
809,Access,2021-02-01,10,3228,Small internet service providers say SpaceX's Starlink shouldn't get federal funds to expand internet access,2021-02-05,businessinsider.com
900,Brand Safety,2021-02-01,1,25418,Influencers Can No Longer Use ‘Misleading’ Filters In Paid Beauty Adverts,2021-02-03,unilad.co.uk
901,Brand Safety,2021-02-01,2,12853,People paid for a Times Square billboard to promote GameStop trading and even a plane banner mocking Robinhood,2021-02-01,businessinsider.com
902,Brand Safety,2021-02-01,3,9427,"Are Social Media Companies Biased Against Conservatives? There’s No Solid Evidence, Report Concludes",2021-02-01,forbes.com
903,Brand Safety,2021-02-01,4,8906,Influencers told not to use 'misleading' beauty filters,2021-02-03,bbc.com
904,Brand Safety,2021-02-01,5,8675,YouTube Is Taking Down Raw Footage From The Capitol Riot As It Tries To Crack Down On Misinformation,2021-02-04,forbes.com
905,Brand Safety,2021-02-01,6,8245,Influencers told not to use 'misleading' beauty filters,2021-02-03,bbc.co.uk
906,Brand Safety,2021-02-01,7,3562,"OPINION: Don’t Stop at Big Tech—We Need to Bust Big Agriculture, Too",2021-02-03,modernfarmer.com
907,Brand Safety,2021-02-01,8,2747,Farmers’ Protest and #Hashtag Anarchy as Dissent in the Age of Social Media,2021-02-04,news18.com
908,Brand Safety,2021-02-01,9,2333,"Dominion Voting tells Facebook, Parler and other social media sites to preserve posts for lawsuits",2021-02-05,washingtonpost.com
909,Brand Safety,2021-02-01,10,1856,"Exclusive: Treasury's Yellen calls top regulator meeting on GameStop volatility, consults ethics lawyer",2021-02-03,reuters.com
0,Content,2021-02-08,1,72687,"To Prove Cancel Culture Doesn't Exist, Disney Fires Actress Who Condemned Cancel Culture",2021-02-11,babylonbee.com
1,Content,2021-02-08,2,71560,"Minnesota mom fights QAnon conspiracies, one Instagram story at a time",2021-02-09,cnn.com
2,Content,2021-02-08,3,31203,Instagram removes anti-vaxxer Robert F Kennedy Jr for false Covid-19 claims,2021-02-11,theguardian.com
3,Content,2021-02-08,4,17232,Bill Gates' daughter mocks conspiracy theory after COVID-19 vaccination. 'Sadly it did NOT implant my genius father into my brain.',2021-02-14,insider.com
4,Content,2021-02-08,5,16427,Republicans pressure Facebook to reinstate Trump and ban antifa,2021-02-12,washingtonexaminer.com
5,Content,2021-02-08,6,10201,"Marjorie Taylor Greene should be removed from Facebook for spreading 'dangerous lies,' advocacy groups say",2021-02-09,usatoday.com
6,Content,2021-02-08,7,9565,Marjorie Taylor Greene falsely suggests Trump supporters didn't carry out the Capitol siege days after apologizing for endorsing conspiracy theories,2021-02-09,businessinsider.com
7,Content,2021-02-08,8,9337,Robert Kennedy Jr. banned from Instagram over false COVID vaccine claims,2021-02-11,cbsnews.com
8,Content,2021-02-08,9,8375,Marjorie Taylor Greene Claims Capitol Rioters Weren’t Pro-Trump Days After Denying Conspiracy Theories,2021-02-09,forbes.com
9,Content,2021-02-08,10,6894,Facebook is finally banning vaccine misinformation,2021-02-08,vox.com
100,Taxation,2021-02-08,1,7513,"Modi Govt Helps 5-Month-Old Teera, Waives Off Rs 6 Cr Tax For Importing Life-Saving Medicines",2021-02-11,thelogicalindian.com
101,Taxation,2021-02-08,2,7504,Jeff Bezos would pay an extra $2 billion a year if a proposed wealth tax for billionaires is passed by Washington lawmakers,2021-02-11,businessinsider.com
102,Taxation,2021-02-08,3,4773,Jeff Bezos Would Pay Extra $2 Billion A Year If Proposed Billionaire Wealth Tax Passes,2021-02-11,unilad.co.uk
103,Taxation,2021-02-08,4,3390,Maryland Just Passed The Nation’s First Tax On Digital Ads—And Big Tech Is Worried,2021-02-13,forbes.com
104,Taxation,2021-02-08,5,2384,Tax-A-Rama in Maryland,2021-02-09,taxfoundation.org
105,Taxation,2021-02-08,6,1696,Nevada's Dem Governor Plans to Bring Back Company Towns for Big Tech Companies to Run,2021-02-08,westernjournal.com
106,Taxation,2021-02-08,7,1357,"Salvini appoggia Draghi, Toninelli contro il leader della Lega: 'Traditore, rimangiato tutto'",2021-02-11,it.blastingnews.com
107,Taxation,2021-02-08,8,959,"U.S. eyes flurry of new taxes on Amazon, Facebook and Google, trying to force tech to pay its ‘fair share’",2021-02-12,washingtonpost.com
108,Taxation,2021-02-08,9,485,Maryland becomes first state to enact tax on digital advertising,2021-02-12,axios.com
109,Taxation,2021-02-08,10,422,"Targeting Big Tech, Maryland becomes first state to tax digital advertising",2021-02-12,cnn.com
200,Privacy,2021-02-08,1,31215,Twitter Permanently Bans James O’Keefe’s Project Veritas,2021-02-12,dailywire.com
201,Privacy,2021-02-08,2,18264,Twitter Permanently Suspends Project Veritas,2021-02-11,breitbart.com
202,Privacy,2021-02-08,3,13917,Apple Exec Claims North Dakota App Store Bill 'Threatens to Destroy the iPhone as You Know It',2021-02-11,breitbart.com
203,Privacy,2021-02-08,4,8671,Twitter permanently suspends 'Project Veritas' group,2021-02-11,thehill.com
204,Privacy,2021-02-08,5,8541,FBI Arrests Insurrectionist Whose Mother Bragged on Facebook That He 'Sat in Nancy Pelosi's Chair',2021-02-14,politicalflare.com
205,Privacy,2021-02-08,6,7192,Mark Zuckerberg Reportedly Told Staff Facebook Needs to 'Inflict Pain' on Apple Over Privacy Dispute,2021-02-13,macrumors.com
206,Privacy,2021-02-08,7,5857,YouTuber Timothy Wilks Shot Dead Filming Robbery Prank Gone Wrong,2021-02-09,news.knowyourmeme.com
207,Privacy,2021-02-08,8,5402,'Vaccine Passport' may contain TERRIFYING risks to YOUR privacy & information,2021-02-10,glennbeck.com
208,Privacy,2021-02-08,9,5291,Myanmar May Target Free Speech in Effort to Stifle Protests,2021-02-12,nytimes.com
209,Privacy,2021-02-08,10,4898,Secret recording suggests Iranian official concedes truth about downing of Flight PS752 may never be revealed,2021-02-09,cbc.ca
300,Censorship,2021-02-08,1,25920,"RFK, Jr. Responds to Instagram’s Removal of His Account • Children's Health Defense",2021-02-11,childrenshealthdefense.org
301,Censorship,2021-02-08,2,24526,Rep. Mark Green: Cancel culture eerily similar to Communist China playbook to control its people,2021-02-08,foxnews.com
302,Censorship,2021-02-08,3,11788,Activist Claims Cop Violated His Rights By Playing Copyrighted Music During Livestream - The Police Tribune,2021-02-10,policetribune.com
303,Censorship,2021-02-08,4,8958,Twitter Blocks Accounts in India as Modi Pressures Social Media,2021-02-10,nytimes.com
304,Censorship,2021-02-08,5,8310,Elon Musk Trolls The Onion By Promoting The Babylon Bee,2021-02-09,dailywire.com
305,Censorship,2021-02-08,6,6302,"Texas Follows Florida, Preps Own Bill Against Big Tech Censorship",2021-02-08,newsbusters.org
306,Censorship,2021-02-08,7,6248,"Texas Follows Florida, Preps Own Bill Against Big Tech Censorship",2021-02-08,newsbusters.org
307,Censorship,2021-02-08,8,5983,"Meet The Man Behind Epik, The Tech Firm Keeping Far-Right Websites Alive",2021-02-09,npr.org
308,Censorship,2021-02-08,9,5083,My Facebook Fan Page Has Been Limited For 'Hate Speech',2021-02-09,patheos.com
309,Censorship,2021-02-08,10,4514,Facebook Covid 'misinformation' ban sparks freedom of speech fears,2021-02-09,dailymail.co.uk
400,Copyright,2021-02-08,1,1930,Commission and Parliament in 'secret talks' on EU copyright directive,2021-02-12,euractiv.com
401,Copyright,2021-02-08,2,1842,Missing Doctor Who episodes are being recreated using deepfake technology - Lovarzi Blog,2021-02-12,blog.lovarzi.co.uk
402,Copyright,2021-02-08,3,1788,Deepfake porn is ruining women’s lives. Now the law may finally ban it,2021-02-12,technologyreview.com
403,Copyright,2021-02-08,4,1563,"Deepfake detectors can be defeated, computer scientists show for the first time",2021-02-08,eurekalert.org
404,Copyright,2021-02-08,5,1473,Gerri Baudet presenteert GVD-journaal in hilarische deepfake Lubach,2021-02-08,metronieuws.nl
405,Copyright,2021-02-08,6,1080,Sebastian Stan Is Young Luke Skywalker in ‘Return of the Jedi’ DeepFake Video,2021-02-10,movieweb.com
406,Copyright,2021-02-08,7,606,Star Wars Deepfake Sees Marvel's Sebastian Stan Replace Mark Hamill As Luke Skywalker,2021-02-10,cinemablend.com
407,Copyright,2021-02-08,8,561,"Tayshia Adams Says Chris Harrison's Rachael Kirkconnell Defense Was Full of ""Ignorance"" - E! Online",2021-02-12,eonline.com
408,Copyright,2021-02-08,9,476,Nicolas Cage Is ‘Superman’ in Impressive Yet Very Disturbing Deepfake Video,2021-02-11,movieweb.com
409,Copyright,2021-02-08,10,434,"Dave Bautista on Tucker Carlson: ""I Really HATE This Motherf***er""",2021-02-11,bleedingcool.com
500,Politics,2021-02-08,1,164554,Instagram Bars Robert F. Kennedy Jr. For Spreading Vaccine Misinformation,2021-02-11,npr.org
501,Politics,2021-02-08,2,135878,The Cancel Culture is Just Adult Accountability,2021-02-11,johnpavlovitz.com
502,Politics,2021-02-08,3,59747,Facebook Is Finally Banning All Anti-Vaxx Misinformation,2021-02-08,ladbible.com
503,Politics,2021-02-08,4,46100,Facebook bans misinformation about all vaccines after years of controversy,2021-02-08,theguardian.com
504,Politics,2021-02-08,5,40184,Facebook announces plans to remove vaccine misinformation content,2021-02-08,abcnews.go.com
505,Politics,2021-02-08,6,36013,Facebook Widens Ban On COVID-19 Vaccine Misinformation In Push To Boost Confidence,2021-02-08,npr.org
506,Politics,2021-02-08,7,31203,Instagram removes anti-vaxxer Robert F Kennedy Jr for false Covid-19 claims,2021-02-11,theguardian.com
507,Politics,2021-02-08,8,25920,"RFK, Jr. Responds to Instagram’s Removal of His Account • Children's Health Defense",2021-02-11,childrenshealthdefense.org
508,Politics,2021-02-08,9,21100,"HUGE DEVELOPMENT: Hand Recount Finds Dominion Owned Voting Machines Shorted EVERY REPUBLICAN Candidate in Windham, New Hampshire, 300 Votes!",2021-02-10,thegatewaypundit.com
509,Politics,2021-02-08,10,17156,Good Pillow Already Has More Twitter Followers Than MyPillow Ever Did,2021-02-10,newsweek.com
600,Competition,2021-02-08,1,14664,Jeff Bezos would owe $2 billion a year in state taxes if Washington passes wealth tax,2021-02-08,cnbc.com
601,Competition,2021-02-08,2,9740,Washington state's proposed wealth tax would cost Bezos $2 billion a year: report,2021-02-08,thehill.com
602,Competition,2021-02-08,3,7504,Jeff Bezos would pay an extra $2 billion a year if a proposed wealth tax for billionaires is passed by Washington lawmakers,2021-02-11,businessinsider.com
603,Competition,2021-02-08,4,5039,Former FBI Officials Tapped for Amazon’s Growing Security Apparatus,2021-02-11,theintercept.com
604,Competition,2021-02-08,5,4773,Jeff Bezos Would Pay Extra $2 Billion A Year If Proposed Billionaire Wealth Tax Passes,2021-02-11,unilad.co.uk
605,Competition,2021-02-08,6,4395,Apple Is the $2.3 Trillion Fortress That Tim Cook Built,2021-02-09,bloomberg.com
606,Competition,2021-02-08,7,3714,"OPINION: Don’t Stop at Big Tech—We Need To Bust Big Agriculture, Too",2021-02-11,organicconsumers.org
607,Competition,2021-02-08,8,3486,Intel is back to bashing Apple with aggressive anti-MacBook ads,2021-02-12,pcgamer.com
608,Competition,2021-02-08,9,3153,Jeff Bezos would owe $2B a year under proposed Washington wealth tax,2021-02-09,foxbusiness.com
609,Competition,2021-02-08,10,2916,Bombshell: Florida Declares War Against Big Tech As Gov. Takes Massive Action,2021-02-09,breakingreports.org
700,Behaviour,2021-02-08,1,28755,"TikTok creator Dazharia Shaffer, a rising star on the app, dies at 18 years old",2021-02-12,insider.com
701,Behaviour,2021-02-08,2,13823,Rising TikTok Star Dazharia Shaffer Dies by Suicide at 18: 'I Wasn’t Prepared to Bury My Child',2021-02-11,people.com
702,Behaviour,2021-02-08,3,11188,"Online bullying: 'I've blocked nearly 10,000 abusive accounts'",2021-02-08,bbc.co.uk
703,Behaviour,2021-02-08,4,10858,"Online bullying: 'I've blocked nearly 10,000 abusive accounts'",2021-02-08,bbc.com
704,Behaviour,2021-02-08,5,5083,My Facebook Fan Page Has Been Limited For 'Hate Speech',2021-02-09,patheos.com
705,Behaviour,2021-02-08,6,4439,TikTok star Dazhariaa Quint Noyes dies by suicide aged 18,2021-02-10,dailymail.co.uk
706,Behaviour,2021-02-08,7,3697,"TikTok star Dazhariaa Quint Noyes died by suicide, parents say",2021-02-10,nypost.com
707,Behaviour,2021-02-08,8,3308,18-Year-Old Rising TikTok Star Dazharia Shaffer Dies by Suicide,2021-02-11,toofab.com
708,Behaviour,2021-02-08,9,2927,Daisy Ridley Has No Plans to Return on Social Media,2021-02-08,movieweb.com
709,Behaviour,2021-02-08,10,2832,Liza Soberano slams Viva’s new film poster: ‘It’s a no for me’ - Latest Chika,2021-02-08,latestchika.com
800,Access,2021-02-08,1,15659,Armoured vehicles deployed to major Myanmar cities after mass protests,2021-02-14,reuters.com
801,Access,2021-02-08,2,5339,കേരളത്തെ മാറ്റിമറിക്കും കെ–ഫോൺ; വീട്ടിൽ എത്തുക എങ്ങനെ? അറിയേണ്ടതെല്ലാം,2021-02-14,manoramaonline.com
802,Access,2021-02-08,3,4033,"Musk’s SpaceX, Uy’s Converge ICT in talks for PH broadband satellite venture",2021-02-13,business.inquirer.net
803,Access,2021-02-08,4,3991,Elon Musk’s Starlink filings show plans for phone service and low-income web access,2021-02-14,teslarati.com
804,Access,2021-02-08,5,3799,Telesat to build a $5 billion global satellite network to bring fiber-like internet to businesses,2021-02-09,cnbc.com
805,Access,2021-02-08,6,3147,SpaceX Starlink Internet service pre-orders open in South Africa,2021-02-10,mybroadband.co.za
806,Access,2021-02-08,7,3106,"SpaceX, Converge ICT in talks for PH broadband satellite service",2021-02-14,yugatech.com
807,Access,2021-02-08,8,3020,"Elon Musk’s SpaceX keen on PH broadband market, seeks Senate’s help in hurdling legal barriers",2021-02-08,bilyonaryo.com.ph
808,Access,2021-02-08,9,2631,Digital siege: Internet cuts become favored tool of regimes,2021-02-11,apnews.com
809,Access,2021-02-08,10,2555,California schools struggle to test English learners’ progress during pandemic,2021-02-10,edsource.org
900,Brand Safety,2021-02-08,1,40184,Facebook announces plans to remove vaccine misinformation content,2021-02-08,abcnews.go.com
901,Brand Safety,2021-02-08,2,14042,YouTube Prankster Shot Dead By Armed Citizen During 'Fake Robbery' For Video Content – Concealed Nation,2021-02-08,concealednation.org
902,Brand Safety,2021-02-08,3,7186,Local West Virginia newspaper slams Big Tech for ‘manipulating’ digital media,2021-02-11,foxnews.com
903,Brand Safety,2021-02-08,4,6961,Big News: Facebook Just Banned More COVID-19 Anti-Vax Content,2021-02-09,sciencealert.com
904,Brand Safety,2021-02-08,5,5312,"Twitter acts after Centre's warning; deletes 97% of accounts, posts flagged by IT Ministry",2021-02-13,republicworld.com
905,Brand Safety,2021-02-08,6,4971,Indian Twitter-like micro-blogging platform Koo witnesses surge in popularity,2021-02-10,wionews.com
906,Brand Safety,2021-02-08,7,4767,"""Employees' Safety Top Priority"": Twitter's Response After India's Notice",2021-02-09,ndtv.com
907,Brand Safety,2021-02-08,8,3714,"OPINION: Don’t Stop at Big Tech—We Need To Bust Big Agriculture, Too",2021-02-11,organicconsumers.org
908,Brand Safety,2021-02-08,9,3470,"Twitter Says Government Order ""Not Consistent With Indian Law"": 10 Points",2021-02-10,ndtv.com
909,Brand Safety,2021-02-08,10,2754,Anti-India Twitter crackdown escalates; Centre wants 1178 Pak-Khalistan handles taken down,2021-02-08,republicworld.com
0,Content,2021-02-15,1,57783,“Mark Changed The Rules”: How Facebook Went Easy On Alex Jones And Other Right-Wing Figures,2021-02-21,buzzfeednews.com
1,Content,2021-02-15,2,34842,Pete Evans: Instagram ban for Australian chef over conspiracy theories,2021-02-17,bbc.co.uk
2,Content,2021-02-15,3,9405,‘This Crap Means More to Him Than My Life’: When QAnon Invades American Homes,2021-02-19,politico.com
3,Content,2021-02-15,4,8600,This pastor quit his church after his parishioners became obsessed with QAnon conspiracies,2021-02-21,rawstory.com
4,Content,2021-02-15,5,7640,"She's fighting QAnon conspiracy theories, one Instagram story at a time",2021-02-17,scoop.upworthy.com
5,Content,2021-02-15,6,5423,Several Charged Capitol Rioters Complained On Social Media About Antifa Getting Credit For Their Work,2021-02-17,comicsands.com
6,Content,2021-02-15,7,5078,Ex-Trump press secretary criticized for stirring up QAnon on Twitter,2021-02-17,thehill.com
7,Content,2021-02-15,8,4815,Schaatsende Hoekstra zorgt voor irritatie,2021-02-19,telegraaf.nl
8,Content,2021-02-15,9,4803,"Instagram Announces Policing Of Private Direct Messages, Law Enforcement Team-Up In Latest ‘Hate Speech’ Crackdown ",2021-02-15,dailywire.com
9,Content,2021-02-15,10,4206,Wopke Hoekstra rijdt scheve schaats in gesloten Thialf,2021-02-18,ad.nl
100,Taxation,2021-02-15,1,3346,Income tax e-filing for 2020 starts March 1,2021-02-19,thestar.com.my
101,Taxation,2021-02-15,2,1822,Maryland wants to tax Facebook and Google. Internet groups are fighting back.,2021-02-19,nbcnews.com
102,Taxation,2021-02-15,3,1510,The Bizarre Reaction To Facebook's Decision To Get Out Of The News Business In Australia,2021-02-18,techdirt.com
103,Taxation,2021-02-15,4,673,"TurboTax, IRS services and more: Try these tax tools to ease the pain of filing taxes",2021-02-20,usatoday.com
104,Taxation,2021-02-15,5,643,Tech Industry Challenges Maryland Online Ad Tax,2021-02-18,wsj.com
105,Taxation,2021-02-15,6,624,Youtube Star Logan Paul Announces He's Moving to Puerto Rico and Receives Immediate Backlash,2021-02-17,movieweb.com
106,Taxation,2021-02-15,7,526,"Maryland approves first state tax on digital ad revenue for Facebook, Google",2021-02-18,rebelnews.com
107,Taxation,2021-02-15,8,511,Maryland to Become First State to Tax Google and Facebook's Online Ads,2021-02-18,breitbart.com
108,Taxation,2021-02-15,9,446,Silicon Valley-backed groups sue Maryland to kill country’s first-ever online advertising tax,2021-02-18,washingtonpost.com
109,Taxation,2021-02-15,10,394,Litter cleanup costs soaring for Caltrans: Roadshow,2021-02-18,mercurynews.com
200,Privacy,2021-02-15,1,12792,Florida unveils bill targeting Big Tech data mining and user privacy | Leo Terrell,2021-02-15,theleoterrell.com
201,Privacy,2021-02-15,2,7160,Nunes lawsuit against CNN thrown out,2021-02-19,thehill.com
202,Privacy,2021-02-15,3,6484,"WhatsApp के टक्कर में Modi सरकार का देसी Messaging App, ऐसे करें Download",2021-02-17,zeenews.india.com
203,Privacy,2021-02-15,4,5639,Report: Facebook Wants to Monitor Your Body with a Smartwatch,2021-02-15,breitbart.com
204,Privacy,2021-02-15,5,5535,I thought Brexit would be hard for small businesses like mine – but not this hard,2021-02-18,theguardian.com
205,Privacy,2021-02-15,6,5290,Twitter sued for libel by repairman of Hunter Biden's alleged laptop - Sara A. Carter,2021-02-19,saraacarter.com
206,Privacy,2021-02-15,7,5225,"Gov. DeSantis takes on big tech again, proposes new privacy bill for Floridians",2021-02-15,wesh.com
207,Privacy,2021-02-15,8,3640,Massive Unidentified Flying Object Landed in Saudi Arabia - Recorded by an Eyewitness (VIDEO),2021-02-20,alienstar.net
208,Privacy,2021-02-15,9,3480,"You may be trillion dollar firms but people value their privacy: SC to Facebook, WhatsApp",2021-02-15,republicworld.com
209,Privacy,2021-02-15,10,3475,Doug Ford accused of directing ‘misogynistic’ remark at opposition leader Andrea Horwath,2021-02-17,globalnews.ca
