,Group,Week Starting,Rank,Total Interactions,Headline,Published,Website
300,Censorship,2021-02-15,1,35486,Kevin Sorbo speaks out after Facebook deleted his page: ‘Freedom of speech has gone out the window’,2021-02-19,foxbusiness.com
301,Censorship,2021-02-15,2,34746,Parler Is Back Online With New Plan That Doesn't Rely On 'Big Tech' - The Police Tribune,2021-02-15,policetribune.com
302,Censorship,2021-02-15,3,11894,Parler is back online with new interim CEO,2021-02-15,theblaze.com
303,Censorship,2021-02-15,4,10448,Poland Proposes $13.5 Million Fines for Tech Giants Engaging in Ideological Censorship,2021-02-19,theepochtimes.com
304,Censorship,2021-02-15,5,10122,Welcome back! Parler resumes social media app after securing new computer servers,2021-02-15,justthenews.com
305,Censorship,2021-02-15,6,10046,Parler Relaunches After Month Offline In Wake Of Capitol Attack,2021-02-15,forbes.com
306,Censorship,2021-02-15,7,7685,"Parler Open for Business Again: ‘Here to Stay,’ Free from Shackles of Big Tech",2021-02-15,cnsnews.com
307,Censorship,2021-02-15,8,7640,Report: Parler app to return with new computer servers - Sara A. Carter,2021-02-15,saraacarter.com
308,Censorship,2021-02-15,9,7190,Poland Will Fine Big Tech $13.5 Million Per Case For Removing Ideological Content: “Poland Spent 45 Years Under Communism…It,2021-02-20,djhjmedia.com
309,Censorship,2021-02-15,10,6928,"Inside Wikipedia's leftist bias: socialism pages whitewashed, communist atrocities buried",2021-02-18,foxnews.com
400,Copyright,2021-02-15,1,1016,"Vicky Cornell sues Soundgarden after receiving ""villainously low"" offer for her stake in the band",2021-02-17,loudersound.com
401,Copyright,2021-02-15,2,895,Ridge Senior Wins Prestigious Award for Her 'Deep-Fake' Research,2021-02-19,tapinto.net
402,Copyright,2021-02-15,3,894,"Vicky Cornell sues Soundgarden, following “villainously low” offer for her stake in the band",2021-02-18,guitarworld.com
403,Copyright,2021-02-15,4,708,Sebastian Stan Replaces Mark Hamill in STAR WARS Deepfake - Nerdist,2021-02-18,nerdist.com
404,Copyright,2021-02-15,5,280,A deepfake kibékíti még Putyint és Merkelt is – így készült 2020 legjobb magyar klipje,2021-02-19,szabotazs.hvgblog.hu
405,Copyright,2021-02-15,6,224,Wonder Woman Deepfake Replaces Gal Gadot with Danny Trejo,2021-02-15,comicbook.com
406,Copyright,2021-02-15,7,198,DeepFake по-латвийски: премьер-министр Латвии “запел” на русском (+ВИДЕО),2021-02-17,bb.lv
407,Copyright,2021-02-15,8,162,"Sextortion and revenge porn cases have spiked during the pandemic, experts say",2021-02-19,insider.com
408,Copyright,2021-02-15,9,143,Deepfake: Kinas ledare som Nalle Puh!,2021-02-20,funfunfun.se
409,Copyright,2021-02-15,10,113,The Hacker,2021-02-17,entrepreneur.com
500,Politics,2021-02-15,1,57783,“Mark Changed The Rules”: How Facebook Went Easy On Alex Jones And Other Right-Wing Figures,2021-02-21,buzzfeednews.com
501,Politics,2021-02-15,2,49729,Bill Gates says Trump should 'probably' be allowed to return to social media,2021-02-18,foxnews.com
502,Politics,2021-02-15,3,30246,Facebook Says It Will Fact Check Global Warming 'Misinformation',2021-02-19,breitbart.com
503,Politics,2021-02-15,4,21449,Arbiter of truth: Facebook plans to flag and debunk misinformation about climate change,2021-02-18,theblaze.com
504,Politics,2021-02-15,5,19856,Opinion | Don’t Go Down the Rabbit Hole,2021-02-18,nytimes.com
505,Politics,2021-02-15,6,13160,Bette Midler: God sent deadly storm to Texas because Ted Cruz challenged election results,2021-02-18,washingtonexaminer.com
506,Politics,2021-02-15,7,12853,Ignorant Senator Shares New York Times Article Thinking It's Real,2021-02-15,babylonbee.com
507,Politics,2021-02-15,8,11647,"""O certo é tirar de circulação"", diz Bolsonaro sobre veículos de imprensa",2021-02-15,cultura.uol.com.br
508,Politics,2021-02-15,9,7680,The superspreaders behind top COVID-19 conspiracy theories,2021-02-15,apnews.com
509,Politics,2021-02-15,10,5747,Patrick Cockburn: US media reports of invasion of the Capitol have contributed to the spread of violence and fear,2021-02-19,independent.co.uk
600,Competition,2021-02-15,1,12422,"PolitiFact - Yes, aversion to federal regulation drove Texas to isolate its power grid",2021-02-18,politifact.com
601,Competition,2021-02-15,2,6274,Critics Must Be Silenced for Billionaires to Keep Profiting From Pandemic • Children's Health Defense,2021-02-16,childrenshealthdefense.org
602,Competition,2021-02-15,3,4073,Facebook’s Australia Face-Off Could Backfire Across the Globe,2021-02-19,bloomberg.com
603,Competition,2021-02-15,4,3931,"House to grill Facebook, Google, Twitter CEOs as Washington seeks to crack down on disinformation, antitrust",2021-02-18,washingtonpost.com
604,Competition,2021-02-15,5,3905,Jeff Bezos Is The World’s Richest Man Again After Elon Musk’s Wealth Drops,2021-02-17,unilad.co.uk
605,Competition,2021-02-15,6,3551,Parler is back online after monthlong ban by ‘Big Tech’: Meckler,2021-02-15,nydailynews.com
606,Competition,2021-02-15,7,2048,Singaporean debt collector shows up for rounds in God of Wealth costume – and more CNY episodes of quirkiness | Malay Mail,2021-02-15,malaymail.com
607,Competition,2021-02-15,8,2037,California Bill Aims to Regulate Amazon’s Relentless Warehouse Worker Quotas,2021-02-16,vice.com
608,Competition,2021-02-15,9,1990,Laura Loomer's Big Tech Censorship Case Hits Supreme Court Docket,2021-02-16,breitbart.com
609,Competition,2021-02-15,10,1722,"Retail giants like Walmart, Amazon, and Kroger are firing shots over rivals' minimum wages. Here's who actually pays $15 an hour.",2021-02-19,businessinsider.com
700,Behaviour,2021-02-15,1,57783,“Mark Changed The Rules”: How Facebook Went Easy On Alex Jones And Other Right-Wing Figures,2021-02-21,buzzfeednews.com
701,Behaviour,2021-02-15,2,8087,Allegations of sexist cyberstalking by Trump's top advisor roils secretive paternity case,2021-02-17,washingtonpress.com
702,Behaviour,2021-02-15,3,7014,"Democrat Who Harassed, Called For Doxxing Of Pro-Life Teens Announces Bid For PA Lt Gov",2021-02-15,dailycaller.com
703,Behaviour,2021-02-15,4,6920,"पुण्यात Tiktok स्टार समीर गायकवाडने केली आत्महत्या, गळफास लावत संपवलं जीवन",2021-02-21,lokmat.news18.com
704,Behaviour,2021-02-15,5,6141,"Demi Lovato reveals she had multiple strokes, brain damage after overdose",2021-02-18,cnn.com
705,Behaviour,2021-02-15,6,5995,"Black, female and high-profile, Kamala Harris is a top target in online fever swamps",2021-02-19,latimes.com
706,Behaviour,2021-02-15,7,5184,PewDiePie Diss Track Aimed At Kids' YouTube Channel Removed For Harassment,2021-02-19,gamingbible.co.uk
707,Behaviour,2021-02-15,8,4803,"Instagram Announces Policing Of Private Direct Messages, Law Enforcement Team-Up In Latest ‘Hate Speech’ Crackdown ",2021-02-15,dailywire.com
708,Behaviour,2021-02-15,9,4702,MS Dhoni actor Sandeep Nahar dies by suicide after posting long note on Facebook,2021-02-15,indiatoday.in
709,Behaviour,2021-02-15,10,4443,"After Posting Suicide Note On Facebook, 'MS Dhoni' Actor Sandeep Nahar Found Dead At His Home",2021-02-16,indiatimes.com
800,Access,2021-02-15,1,16610,Cori Bush calls for utilities to be public in wake of Texas storm crisis,2021-02-17,independent.co.uk
801,Access,2021-02-15,2,3946,House Republicans propose nationwide ban on municipal broadband networks,2021-02-18,arstechnica.com
802,Access,2021-02-15,3,3645,Why a few side effects after your Covid jab are actually a good thing!,2021-02-15,dailymail.co.uk
803,Access,2021-02-15,4,2209,DStv Premium now more expensive than 25Mbps fibre with Netflix and Amazon Prime,2021-02-18,mybroadband.co.za
804,Access,2021-02-15,5,1947,PH improves in mobile and fixed internet download speeds: Ookla® Speedtest Global Index,2021-02-19,technology.inquirer.net
805,Access,2021-02-15,6,1861,House Republicans Wasted No Time Introducing the Dumbest Internet Bill of 2021,2021-02-19,gizmodo.com
806,Access,2021-02-15,7,1782,Philippines' Converge in talks with SpaceX on broadband satellite service,2021-02-15,rappler.com
807,Access,2021-02-15,8,1692,Sky is hiking prices for millions of customers by up to £72 a year,2021-02-16,thesun.co.uk
808,Access,2021-02-15,9,1553,ดีแทคเปิดโครงการ “ดีแทค เน็ตทำกิน” ช่วยผู้ค้ารายย่อยที่กำลัง ‘ล้ม’ ให้ ‘ลุก’ สู้พิษโควิด และ ‘ลุยต่อ’ ด้วยอาวุธทักษะดิจิทัล | dtac blog,2021-02-15,dtacblog.co
809,Access,2021-02-15,10,1355,How Public Schools Became America’s Social Safety Net,2021-02-19,thenation.com
900,Brand Safety,2021-02-15,1,5566,YouTube AI Blocked Chess Channel after Confusing 'Black' and 'White' for Racist Slurs,2021-02-20,news18.com
901,Brand Safety,2021-02-15,2,2635,"Facebook to Label Climate Change Posts Like Covid, Vote Content",2021-02-18,finance.yahoo.com
902,Brand Safety,2021-02-15,3,2355,Biden’s White House ‘working directly’ with Big Tech to CENSOR content causing ‘vaccine hesitancy’ – Reuters,2021-02-20,rt.com
903,Brand Safety,2021-02-15,4,1963,GameStop stock frenzy leads to class action suit; key online investor Keith Gill among those sued for $5M-plus,2021-02-19,usatoday.com
904,Brand Safety,2021-02-15,5,1839,Facebook blocks all news content in Australia,2021-02-18,wsws.org
905,Brand Safety,2021-02-15,6,1822,Maryland wants to tax Facebook and Google. Internet groups are fighting back.,2021-02-19,nbcnews.com
906,Brand Safety,2021-02-15,7,1595,"Amazon’s 103 Hate Items: Serial Killers, Nazi Symbols, and Terrorist Flags",2021-02-16,newsbusters.org
907,Brand Safety,2021-02-15,8,1457,"""Inappropriate Content"": YouTube Removes President Trump's Interview with Greg Kelly from Newsmax on Rush Limbaugh and 2020 Election",2021-02-18,thegatewaypundit.com
908,Brand Safety,2021-02-15,9,1419,"Amazon’s 103 Hate Items: Serial Killers, Nazi Symbols, and Terrorist Flags",2021-02-16,newsbusters.org
909,Brand Safety,2021-02-15,10,1046,Aussies urged to boycott Facebook over ‘disgusting’ ban,2021-02-18,thewest.com.au
0,Content,2021-02-22,1,140390,"‘The End Of Conservative Books’: Amazon Quietly Bans Books They Deem Offensive, ‘Hate Speech’",2021-02-27,dailywire.com
1,Content,2021-02-22,2,95651,"TikTokers are trying to prove that snow in Texas is 'fake,' pushing a false conspiracy theory",2021-02-22,insider.com
2,Content,2021-02-22,3,93471,People are burning snowballs on TikTok to ‘prove’ that snow is a conspiracy theory,2021-02-22,dailydot.com
3,Content,2021-02-22,4,43574,Fake snow? Conspiracy theory claims Texas weather ‘government-generated’,2021-02-22,news.yahoo.com
4,Content,2021-02-22,5,43117,Conspiracy theory claims Texas snow is ‘government-generated’,2021-02-22,independent.co.uk
5,Content,2021-02-22,6,29723,People Are Burning And Microwaving Snow To 'Prove' It's Fake – It's Not,2021-02-23,iflscience.com
6,Content,2021-02-22,7,22425,Report: Amazon Quietly Debuted New Policy Ending Sales Of Books Labeled 'Hate Speech',2021-02-24,dailywire.com
7,Content,2021-02-22,8,15602,Life amid the ruins of QAnon: ‘I wanted my family back’,2021-02-23,washingtonpost.com
8,Content,2021-02-22,9,10712,Gina Carano Speaks Out Against Disney After 'Mandalorian' Firing,2021-02-23,newsmax.com
9,Content,2021-02-22,10,10325,How the pandemic pushed Canadian millennials to home ownership,2021-02-25,globalnews.ca
100,Taxation,2021-02-22,1,9724,注意！全马邮政局 POS 即日起暂停提供更新Road Tax 服务！别白跑一趟！ - LEESHARING,2021-02-23,leesharing.com
101,Taxation,2021-02-22,2,1578,US drops key obstacle to global digital tax: Treasury,2021-02-26,news.yahoo.com
102,Taxation,2021-02-22,3,1533,Queensland’s deputy premier slammed for ripping up $30M quarantine bill on camera,2021-02-26,7news.com.au
103,Taxation,2021-02-22,4,1445,Tax-Dodging Tech Nomads Are Puerto Rico’s Migrant Crisis,2021-02-25,thedailybeast.com
104,Taxation,2021-02-22,5,1047,"The CEO Who Pays a $70,000 Minimum Wage Says Billionaires Should Do This With Their Money",2021-02-26,inc.com
105,Taxation,2021-02-22,6,899,Iowa bill would punish Big Tech if it blocks conservatives on social media,2021-02-25,thegazette.com
106,Taxation,2021-02-22,7,591,Scholz Says U.S. Drops Demand That Digital Tax Must Be Optional,2021-02-26,bloomberg.com
107,Taxation,2021-02-22,8,574,A very British jetsetter - Tortoise,2021-02-24,tortoisemedia.com
108,Taxation,2021-02-22,9,350,Maryland wants to tax Big Tech. Could other states follow?,2021-02-23,nbcnews.com
109,Taxation,2021-02-22,10,238,Nevada governor proposes giving tech firms power to govern,2021-02-27,kolotv.com
200,Privacy,2021-02-22,1,89747,$650 million Facebook privacy lawsuit settlement approved by judge,2021-02-27,12newsnow.com
201,Privacy,2021-02-22,2,19779,Facebook Just Admitted It Has Lost the Battle With Apple Over Privacy,2021-02-28,inc.com
202,Privacy,2021-02-22,3,13130,Israel adopts law allowing names of unvaccinated to be shared,2021-02-24,news.yahoo.com
203,Privacy,2021-02-22,4,11523,Fans Are Outrightly Supporting Hrithik Roshan In His Legal Battle Against Kangana Ranaut,2021-02-27,indiatimes.com
204,Privacy,2021-02-22,5,9379,$650 million Facebook privacy lawsuit settlement approved by judge,2021-02-27,myfoxzone.com
205,Privacy,2021-02-22,6,7054,Clubhouse Is Recording Your Conversations. That’s Not Even Its Worst Privacy Problem,2021-02-27,inc.com
206,Privacy,2021-02-22,7,4721,"UCLA runner kicked off cross country, track teams for using racist language",2021-02-24,nypost.com
207,Privacy,2021-02-22,8,4581,$650 million Facebook privacy lawsuit settlement approved by judge,2021-02-27,wusa9.com
208,Privacy,2021-02-22,9,4302,Google finally reveals the terrifying amount of data Gmail collects on iPhone,2021-02-23,bgr.com
209,Privacy,2021-02-22,10,3964,Why Is Facebook Launching An All-Out War On Apple's Upcoming iPhone Update?,2021-02-26,npr.org
300,Censorship,2021-02-22,1,168153,"Ben Carson Stands for Trump, Blasts Impeachment, Censorship, Swamp Creature GOP in Bold Interview",2021-02-23,westernjournal.com
301,Censorship,2021-02-22,2,27956,'How many dead bodies?' asked Myanmar protester killed on bloodiest day,2021-02-28,reuters.com
302,Censorship,2021-02-22,3,22651,Judicial Watch to Facebook: End Censorship of Trump - Judicial Watch,2021-02-23,judicialwatch.org
303,Censorship,2021-02-22,4,15532,"House Democrats Lobby to Cancel Fox, Newsmax and OANN as a 'Destabilizing Threat' to America",2021-02-23,www1.cbn.com
304,Censorship,2021-02-22,5,13362,WATCH: Cathy McMorris Rodgers RIPS Dems Over Calls For Censorship,2021-02-24,rumble.com
305,Censorship,2021-02-22,6,10704,Opinion | Tech Censorship Is Accelerating,2021-02-22,wsj.com
306,Censorship,2021-02-22,7,5313,STOP Censoring or Pay Up! Nebraska Legislature Sends Clear Message to Big Tech,2021-02-26,newsbusters.org
307,Censorship,2021-02-22,8,5252,WATCH: Hawley rages against tech censorship and cancel culture in fiery CPAC Speech,2021-02-27,theconservativeopinion.com
308,Censorship,2021-02-22,9,5223,STOP Censoring or Pay Up! Nebraska Legislature Sends Clear Message to Big Tech,2021-02-26,newsbusters.org
309,Censorship,2021-02-22,10,3498,Hong Kong charges 47 activists in largest use yet of new security law,2021-02-28,bbc.com
400,Copyright,2021-02-22,1,7895,Deepfake videos of Tom Cruise show the technology's threat to society is very real,2021-02-27,inputmag.com
401,Copyright,2021-02-22,2,1259,Genealogy firm has developed an AI tool that brings still images of DEAD relatives to life,2021-02-26,disclose.tv
402,Copyright,2021-02-22,3,1023,Watch: Mel Gibson Replaces Tom Hardy In Mad Max: Fury Road Deepfake,2021-02-27,wegotthiscovered.com
403,Copyright,2021-02-22,4,999,MyHeritage offers 'creepy' deepfake tool to reanimate dead,2021-02-26,bbc.com
404,Copyright,2021-02-22,5,986,MyHeritage offers 'creepy' deepfake tool to reanimate dead,2021-02-26,bbc.co.uk
405,Copyright,2021-02-22,6,929,Complex or clickbait?: The problematic Media Bias Chart – ACRLog,2021-02-23,acrlog.org
406,Copyright,2021-02-22,7,849,Tom Holland reemplaza a Tobey Maguire en este espectacular Deepfake de Spider-Man 2 (VIDEO),2021-02-28,aweita.larepublica.pe
407,Copyright,2021-02-22,8,775,MyHeritage now lets you animate old family photos using deepfakery – TechCrunch,2021-02-26,social.techcrunch.com
408,Copyright,2021-02-22,9,667,This TikTok Tom Cruise impersonator is using deepfake tech to impressive ends,2021-02-26,theverge.com
409,Copyright,2021-02-22,10,647,"Les «deep fake», une menace pour la campagne présidentielle de 2022",2021-02-23,lefigaro.fr
500,Politics,2021-02-22,1,193709,House Dems Push Cable Companies to Drop Conservative Networks,2021-02-23,westernjournal.com
501,Politics,2021-02-22,2,49087,"Stars, influencers get paid to boost Duterte propaganda, fake news",2021-02-27,rappler.com
502,Politics,2021-02-22,3,44119,GRAHAM: CNN Should Shut Up About 'Misinformation',2021-02-27,dailywire.com
503,Politics,2021-02-22,4,37508,Tucker Carlson TRIGGERS the Media With this Fiery Rant on the Left’s Disinformation Campaign,2021-02-24,rumble.com
504,Politics,2021-02-22,5,34111,The Left's Push To Cancel Conservative Media Isn't 'Fighting Disinformation.' It's Censorship.,2021-02-22,dailywire.com
505,Politics,2021-02-22,6,26198,'Don't book liars': Soledad O'Brien challenges media at House hearing on disinformation,2021-02-25,usatoday.com
506,Politics,2021-02-22,7,14476,Democrats' 'chilling' letter demands cable providers account for 'misinformation' and 'lies' from 'right-wing media outlets' they carry,2021-02-23,theblaze.com
507,Politics,2021-02-22,8,14367,"Tucker Carlson Strikes Gold, Triggers CNN Into Proving His Point After Segment on Disinformation (Watch)",2021-02-24,redstate.com
508,Politics,2021-02-22,9,12808,"House Democrats, Targeting Right-Wing Cable Outlets, Are Assaulting Core Press Freedoms",2021-02-23,greenwald.substack.com
509,Politics,2021-02-22,10,11549,"Democrats question TV carriers' decisions to host Fox, OAN and Newsmax, citing 'misinformation'",2021-02-22,politico.com
600,Competition,2021-02-22,1,14021,"Roma, scale mobili sommerse dalle piante a Villa Borghese: le foto fanno il giro del mondo",2021-02-22,ilmessaggero.it
601,Competition,2021-02-22,2,6270,"Facebook Reverses Australian News Ban, Bows to Government Regulation",2021-02-23,breitbart.com
602,Competition,2021-02-22,3,5240,The worldwide web as we know it may be ending,2021-02-23,cnn.com
603,Competition,2021-02-22,4,5078,Kiswe AWS CloudFront Case Study,2021-02-22,aws.amazon.com
604,Competition,2021-02-22,5,3914,Marsha Blackburn: Big Tech 'Aiding and Abetting' Communist China,2021-02-26,breitbart.com
605,Competition,2021-02-22,6,3582,Daft Punk Breaking up Just Proves That European Automation Will Never Replace the American Workforce,2021-02-22,thehardtimes.net
606,Competition,2021-02-22,7,2822,"Big Tech 'Aiding' Beijing in Its Push for Global Dominance, Sen. Blackburn Says",2021-02-26,theepochtimes.com
607,Competition,2021-02-22,8,2558,"Costco to raise starting hourly wage to $16, end hazard pay",2021-02-26,nj.com
608,Competition,2021-02-22,9,2404,Facebook Remains a Threat to Democracy,2021-02-24,thenation.com
609,Competition,2021-02-22,10,2190,"Sen. Klobuchar, Allina Health highlight misinformation about the COVID-19 vaccine online",2021-02-22,kare11.com
700,Behaviour,2021-02-22,1,140390,"‘The End Of Conservative Books’: Amazon Quietly Bans Books They Deem Offensive, ‘Hate Speech’",2021-02-27,dailywire.com
701,Behaviour,2021-02-22,2,22425,Report: Amazon Quietly Debuted New Policy Ending Sales Of Books Labeled 'Hate Speech',2021-02-24,dailywire.com
702,Behaviour,2021-02-22,3,13619,Block Party Aims To Be A 'Spam Folder' For Social Media Harassment,2021-02-23,npr.org
703,Behaviour,2021-02-22,4,12852,The story of Lexi Daken and a New Brunswick mother’s fight to fix a ‘completely failing’ system,2021-02-27,globalnews.ca
704,Behaviour,2021-02-22,5,10899,"निर्णय चुकला समीर भाई, Tiktok स्टारच्या चाहत्यांनी शेअर केले भावनिक VIDEO",2021-02-23,lokmat.news18.com
705,Behaviour,2021-02-22,6,8296,"Gina Pareño napaiyak sa presscon ng ‘Tililing’, TikTok naging gamot sa anxiety attack",2021-02-24,bandera.inquirer.net
706,Behaviour,2021-02-22,7,8144,Amazon quietly ends sales of books it labels 'hate speech',2021-02-24,justthenews.com
707,Behaviour,2021-02-22,8,8010,"'So extra and petty': TikToker superglues 'proof' of boyfriend’s cheating to his wall, sparking debate",2021-02-24,dailydot.com
708,Behaviour,2021-02-22,9,5448,"Lindsey Boylan, former Cuomo aide, pens bombshell essay detailing allegations of sexual harassment",2021-02-24,nydailynews.com
709,Behaviour,2021-02-22,10,4934,ঘুমের ওষুধ খেয়ে আত্মহত্যার চেষ্টা গুনগুন ওরফে তৃণা সাহার ! চটলেন ভক্তরা !,2021-02-23,bengali.news18.com
800,Access,2021-02-22,1,48766,"Bell CEO's broadband-connected cottage in Lac-Sainte-Marie, Que., fuels bandwidth envy",2021-02-24,cbc.ca
801,Access,2021-02-22,2,26997,F.C.C. Approves a $50 Monthly High-Speed Internet Subsidy,2021-02-26,nytimes.com
802,Access,2021-02-22,3,14746,Communities find alternative ways to get vaccine to Americans in need,2021-02-24,nbcnews.com
803,Access,2021-02-22,4,11453,DITO Telecommunity passes first performance audit,2021-02-22,cnnphilippines.com
804,Access,2021-02-22,5,10889,Dito Telecom passes 1st technical audit,2021-02-22,rappler.com
805,Access,2021-02-22,6,9617,FCC approves $50 monthly internet subsidies for low-income households during pandemic,2021-02-26,cnn.com
806,Access,2021-02-22,7,9576,"Lima se encuentra entre las peores ciudades para gamers, según estudio",2021-02-27,larepublica.pe
807,Access,2021-02-22,8,8067,FCC to provide $50 subsidies on broadband internet for low-income households,2021-02-26,abcnews.go.com
808,Access,2021-02-22,9,6151,Net neutrality law to take effect in California after judge deals blow to telecom industry,2021-02-24,washingtonpost.com
809,Access,2021-02-22,10,3418,F.C.C. Broadband Plan Includes $50 Monthly Subsidy for Millions,2021-02-22,nytimes.com
900,Brand Safety,2021-02-22,1,10712,Gina Carano Speaks Out Against Disney After 'Mandalorian' Firing,2021-02-23,newsmax.com
901,Brand Safety,2021-02-22,2,7123,Conspiracy nuts think Bill Gates helped Biden generate 'synthetic snow' to make Texas look bad,2021-02-22,rawstory.com
902,Brand Safety,2021-02-22,3,2746,SEC.gov | SEC Suspends Trading in Multiple Issuers Based on Social Media and Trading Activity,2021-02-26,sec.gov
903,Brand Safety,2021-02-22,4,2586,Gina Carano Speaks Out Against Disney After 'Mandalorian' Firing,2021-02-22,newsmax.com
904,Brand Safety,2021-02-22,5,2515,"Some local GOP leaders fire up base with conspiracies, lies",2021-02-26,news.yahoo.com
905,Brand Safety,2021-02-22,6,1098,"'Facebook and Twitter? Boycott them, there are other sites'",2021-02-26,israelhayom.com
906,Brand Safety,2021-02-22,7,1000,From Roxas Night Market to Mati City,2021-02-25,sunstar.com.ph
907,Brand Safety,2021-02-22,8,696,YouTube’s New Supervised Accounts Keep Your Teens Safe From Bad Videos,2021-02-24,reviewgeek.com
908,Brand Safety,2021-02-22,9,589,Majority of Irish adults believe social media influencers are inauthentic and misrepresent real life,2021-02-23,thejournal.ie
909,Brand Safety,2021-02-22,10,583,Snap Hits $100 Billion Market Value After Doubling in Four Months,2021-02-22,bloomberg.com
